empresa_id,setor,provincia,tamanho,invest_ergonomia,invest_saude_mental,burnout_medio,acidentes_ano,produtividade,lucratividade_mil,turnover,satisfacao,invest_total,custo_acidentes,roi
1,Transportes,Sofala,Grande,62953.77076201385,40230.29856408025,3.8595079751659984,4,66.4879456457623,312.86827989647276,14.848981156931114,6.057205784519616,103184.0693260941,30000,174.13948853143216
2,Serviços,Manica,Pequena,31518.343245057902,33164.45080951328,2.5856744014304835,2,106.98473153382331,366.13355492701965,18.405169228127544,4.947827357922506,64682.794054571175,15000,442.8546494617679
3,Mineração,Inhambane,Média,39497.54297739982,44127.71271359207,2.9839682305619446,5,86.79135417342756,342.0290574153167,11.047378548449505,7.535946674815353,83625.25569099188,37500,264.1591943713729
4,Serviços,Zambézia,Pequena,35910.93099246819,20385.342818258167,3.539994367105175,6,93.46696357832704,403.82510021220224,20.83915949676014,7.656947777957679,56296.27381072636,45000,537.3869457481462
5,Transportes,Manica,Pequena,51928.32958060517,29191.02105597643,3.4281833264700987,3,54.281940961272795,495.4457662517755,12.559675988520421,7.418855363655063,81119.3506365816,22500,483.0245959075711
6,Agricultura,Nampula,Média,76073.22536797168,16036.64816870698,3.732807307695835,10,50.77686360874034,449.93386607333946,9.715697854366486,6.434951821015221,92109.87353667866,75000,307.0506794519035
7,Transportes,Maputo,Pequena,68070.64981251684,25190.003310621498,3.679350127795897,6,47.57419193778496,537.3103176553111,19.972506657958107,6.111311735102849,93260.65312313834,45000,427.8864142258156
8,Serviços,Zambézia,Pequena,60265.34866226712,17979.469061226475,3.303402712041339,4,45.17235928654795,451.82769158331496,15.62690129051824,6.424122086589075,78244.81772349359,30000,439.11262605786357
9,Manufactura,Cabo Delgado,Grande,54298.7766018951,5000.0,3.3341659149196428,6,96.0593810798894,409.034531491154,32.77945267491172,6.549930745784541,59298.7766018951,45000,513.8988902504946
10,Agricultura,Manica,Pequena,56030.94684667225,36428.228145150206,4.251159819612064,8,85.59907430517693,531.0384123453068,18.054866074440824,6.324798914117694,92459.17499182245,60000,409.45556499608375
11,Construção Civil,Sofala,Média,60726.720647641305,15853.090687387226,4.47232892957704,9,62.58593934705405,351.326356325666,16.76479969742697,4.927946118011063,76579.81133502853,67500,270.6281738981516
12,Construção Civil,Inhambane,Média,73814.5451222728,31176.40845511145,4.830242478188065,4,69.39608709948021,292.84728729604484,29.19464706686854,7.415982797185324,104990.95357738425,30000,150.35231926178437
